Employment Length,Zip Code,BAD,Amount Requested,Loan Title,State
5 years,191xx,0,7200.0,pay my debt,PA
3 years,321xx,0,12000.0,Debt consolidation,FL
5 years,335xx,0,11200.0,Debt consolidation,FL
8 years,606xx,0,7500.0,Medical expenses,IL
7 years,328xx,1,10000.0,Other,FL
8 years,544xx,0,6000.0,Debt consolidation,WI
6 years,535xx,0,14000.0,Credit card refinancing,WI
10+ years,335xx,0,40000.0,Debt consolidation,FL
8 years,729xx,0,20000.0,Home improvement,AR
4 years,112xx,0,35000.0,Loan,NY
3 years,024xx,0,6025.0,Credit card refinancing,MA
9 years,444xx,1,5000.0,Home improvement,OH
10+ years,617xx,0,10000.0,Credit card refinancing,IL
9 years,211xx,0,25000.0,Debt consolidation,MD
10+ years,080xx,0,20000.0,Debt consolidation,NJ
10+ years,020xx,0,35000.0,Debt consolidation,MA
10+ years,463xx,0,20000.0,Credit card refinancing,IN
1 year,851xx,0,18000.0,Debt consolidation,AZ
7 years,317xx,0,20000.0,Debt consolidation,GA
8 years,626xx,1,35000.0,Debt consolidation,IL
10+ years,546xx,0,17975.0,Debt consolidation,WI
9 years,773xx,0,12000.0,Debt consolidation,TX
10+ years,019xx,1,9000.0,Credit card debt,MA
2 years,852xx,0,6100.0,Medical Proceedure,AZ
2 years,376xx,0,25000.0,Consolidation,TN
4 years,754xx,0,3500.0,ATV kids,TX
3 years,112xx,0,5000.0,Other,NY
3 years,300xx,0,14000.0,Debt consolidation,GA
6 years,144xx,0,10000.0,Debt consolidation,NY
10+ years,238xx,0,5275.0,Debt consolidation,VA
10+ years,216xx,0,9200.0,Debt consolidation,MD
5 years,972xx,1,8000.0,Major purchase,OR
3 years,342xx,0,30000.0,Credit card refinancing,FL
5 years,750xx,0,16000.0,Car financing,TX
5 years,774xx,1,18000.0,Credit card refinancing,TX
2 years,481xx,0,25000.0,Debt consolidation,MI
7 years,928xx,0,30000.0,Debt consolidation,CA
10+ years,118xx,1,20000.0,Credit card refinancing,NY
2 years,940xx,0,11000.0,Note loan refinance. ,CA
5 years,113xx,0,7000.0,Debt consolidation,NY
6 years,913xx,0,24000.0,Debt consolidation,CA
10+ years,604xx,0,3025.0,Debt consolidation,IL
4 years,346xx,0,16750.0,Credit card refinancing,FL
1 year,605xx,0,35000.0,Business,IL
10+ years,923xx,1,21250.0,consolidacion ,CA
8 years,750xx,0,35000.0,Debt consolidation,TX
10+ years,490xx,0,1000.0,Other,MI
1 year,138xx,1,7475.0,Debt consolidation,NY
10+ years,757xx,0,9100.0,Major purchase,TX
8 years,454xx,1,12000.0,Debt consolidation,OH
7 years,442xx,0,5950.0,Debt consolidation,OH
4 years,275xx,0,24075.0,Credit card refinancing,NC
2 years,100xx,1,20800.0,Debt consolidation,NY
10+ years,720xx,0,10150.0,Debt consolidation,AR
7 years,761xx,0,9900.0,Credit card refinancing,TX
10+ years,170xx,0,20000.0,No Debt,PA
2 years,331xx,1,15000.0,Home improvement,FL
3 years,281xx,0,18000.0,debt_consolidation,NC
8 years,382xx,0,8200.0,Debt consolidation,TN
6 years,156xx,0,12500.0,Debt consolidation,PA
10+ years,960xx,0,10000.0,Debt consolidation,CA
2 years,377xx,0,20000.0,Debt consolidation,TN
10+ years,273xx,1,15000.0,Other,NC
6 years,360xx,0,28000.0,Debt consolidation,AL
5 years,956xx,1,10400.0,Debt consolidation,CA
10+ years,780xx,0,14000.0,Debt consolidation,TX
8 years,891xx,0,20000.0,Credit card refinancing,NV
10+ years,153xx,0,24000.0,Debt consolidation,PA
10+ years,750xx,0,7000.0,Vacation,TX
10+ years,105xx,1,10600.0,Debt consolidation,NY
4 years,021xx,1,20400.0,Credit card refinancing,MA
1 year,756xx,0,6850.0,Debt consolidation,TX
< 1 year,600xx,0,7000.0,Debt consolidation,IL
10+ years,131xx,1,15000.0,Home improvement,NY
8 years,125xx,1,5000.0,Credit card refinancing,NY
2 years,157xx,0,10200.0,Home improvement,PA
4 years,840xx,0,12000.0,Debt consolidation,UT
10+ years,720xx,0,16000.0,Debt Loan,AR
10+ years,852xx,0,12550.0,Debt consolidation,AZ
8 years,380xx,0,8000.0,Debt consolidation,TN
8 years,070xx,0,8325.0,Home improvement,NJ
< 1 year,481xx,0,30000.0,Business,MI
< 1 year,810xx,0,30000.0,Credit card refinancing,CO
10+ years,856xx,0,35000.0,Home buying,AZ
5 years,601xx,0,15000.0,Debt consolidation,IL
< 1 year,741xx,0,23000.0,Debt consolidation,OK
10+ years,452xx,0,7125.0,Debt consolidation,OH
7 years,921xx,1,15000.0,Debt consolidation,CA
9 years,967xx,0,10000.0,Debt consolidation,HI
10+ years,150xx,0,18000.0,Debt consolidation,PA
6 years,114xx,0,4000.0,Other,NY
2 years,950xx,0,5300.0,Debt consolidation,CA
2 years,988xx,0,5400.0,Vacation,WA
2 years,495xx,0,7275.0,Home improvement,MI
10+ years,719xx,0,4000.0,Home buying,AR
4 years,982xx,0,20000.0,Credit card refinancing,WA
3 years,730xx,0,13000.0,Credit card refinancing,OK
9 years,331xx,0,20000.0,The 2-0 Loan,FL
10+ years,217xx,0,30000.0,Fresh Start,MD
10+ years,114xx,1,3000.0,debt consolidation,NY
5 years,708xx,1,16000.0,Credit card refinancing,LA
10+ years,954xx,0,20000.0,Credit card refinancing,CA
2 years,951xx,0,20000.0,Debt consolidation,CA
10+ years,386xx,0,17250.0,Debt consolidation,MS
10+ years,066xx,0,30000.0,Debt consolidation,CT
10+ years,087xx,0,2800.0,Debt consolidation,NJ
4 years,945xx,0,18000.0,Debt consolidation,CA
10+ years,207xx,0,2000.0,Other,MD
3 years,983xx,0,2175.0,AR-15,WA
3 years,065xx,0,8000.0,Debt consolidation,CT
2 years,333xx,0,9500.0,Trying to get things in order,FL
3 years,984xx,0,12000.0,Credit card refinancing,WA
1 year,100xx,1,3600.0,Business,NY
8 years,330xx,0,10000.0,Credit card refinancing,FL
8 years,775xx,1,21000.0,Debt consolidation,TX
6 years,606xx,0,4500.0,Debt consolidation,IL
5 years,606xx,0,5000.0,Moving and relocation,IL
2 years,381xx,0,13400.0,Credit card refinancing,TN
< 1 year,380xx,1,8000.0,Debt consolidation,TN
6 years,782xx,0,12000.0,Debt ,TX
3 years,407xx,1,20000.0,Moving and relocation,KY
4 years,253xx,0,21000.0,Credit card refinancing,WV
6 years,705xx,1,10000.0,Debt consolidation,LA
10+ years,038xx,0,5000.0,Debt consolidation,NH
< 1 year,667xx,0,3600.0,Debt consolidation,KS
9 years,840xx,0,16000.0,Debt consolidation,UT
1 year,344xx,0,2500.0,Debt consolidation,FL
6 years,917xx,0,3200.0,Looking For Investors On An Auto Loan,CA
8 years,601xx,0,33000.0,Credit card refinancing,IL
< 1 year,948xx,0,6000.0,Debt consolidation,CA
3 years,640xx,0,5375.0,Consolidation loan,MO
10+ years,060xx,0,6625.0,Debt Help,CT
2 years,322xx,0,9500.0,Credit card refinancing,FL
10+ years,890xx,0,24000.0,Credit card refinancing,NV
7 years,334xx,0,16000.0,Debt consolidation,FL
10+ years,310xx,1,16000.0,Vacation,GA
5 years,891xx,0,14975.0,Debt consolidation,NV
10+ years,384xx,1,12225.0,Debt consolidation,TN
< 1 year,802xx,0,16000.0,Debt consolidation,CO
2 years,481xx,0,28000.0,Debt consolidation,MI
10+ years,982xx,0,35000.0,Debt consolidation,WA
10+ years,800xx,0,23000.0,Credit card consolidation,CO
< 1 year,431xx,0,14825.0,Debt consolidation,OH
9 years,291xx,1,10000.0,Home improvement,SC
10+ years,805xx,0,18000.0,Credit card refinancing,CO
7 years,320xx,1,22000.0,Credit,FL
1 year,782xx,0,30000.0,Debt consolidation,TX
2 years,076xx,0,9000.0,Let's Pay Off My Credit Card Debt,NJ
4 years,085xx,0,12000.0,Debt consolidation,NJ
2 years,891xx,1,15000.0,Moving and relocation,NV
6 years,983xx,0,7000.0,Debt consolidation,WA
1 year,210xx,0,40000.0,Credit card refinancing,MD
3 years,953xx,0,15000.0,Home improvement,CA
2 years,611xx,0,10000.0,PAY OFF HIGHER INTEREST CREDIT CARDS,IL
10+ years,444xx,1,20000.0,Debt consolidation,OH
< 1 year,333xx,0,11000.0,Debt Consolidation Loan,FL
10+ years,917xx,1,21000.0,DEBT CONSOLIDATION,CA
10+ years,802xx,0,2500.0,Credit card refinancing,CO
5 years,169xx,0,5000.0,Debt consolidation,PA
8 years,080xx,0,23000.0,Debt consolidation,NJ
10+ years,104xx,0,15000.0,Debt consolidation,NY
2 years,754xx,0,20800.0,Home improvement,TX
10+ years,305xx,0,4000.0,Medical expenses,GA
1 year,152xx,1,6000.0,Other,PA
1 year,207xx,0,2100.0,Debt consolidation,MD
1 year,566xx,0,17500.0,Debt Consolidation,MN
10+ years,629xx,0,10500.0,Credit card refinancing,IL
10+ years,604xx,0,3000.0,Car financing,IL
6 years,152xx,0,12000.0,2011 loan,PA
3 years,495xx,0,6975.0,Other,MI
10+ years,993xx,0,6000.0,Debt consolidation,WA
10+ years,891xx,0,22000.0,Debt consolidation,NV
10+ years,113xx,1,10000.0,Debt consolidation,NY
< 1 year,238xx,0,8000.0,Debt consolidation,VA
10+ years,146xx,0,28000.0,Debt consolidation,NY
10+ years,782xx,0,16200.0,Home improvement,TX
1 year,974xx,0,4000.0,Medical expenses,OR
2 years,727xx,1,10500.0,Credit Cards Stink Remember That!,AR
5 years,113xx,0,2800.0,Medical expenses,NY
10+ years,797xx,1,16800.0,Debt consolidation,TX
1 year,113xx,0,11200.0,Debt consolidation,NY
5 years,193xx,0,20000.0,Debt consolidation,PA
10+ years,551xx,0,4500.0,Debt Consolidation,MN
10+ years,751xx,1,10000.0,Debt consolidation,TX
7 years,537xx,0,25000.0,Debt consolidation,WI
10+ years,913xx,0,2000.0,Debt consolidation,CA
< 1 year,547xx,1,30000.0,Debt consolidation,WI
< 1 year,631xx,0,15800.0,Debt consolidation,MO
2 years,760xx,0,12000.0,Credit card refinancing,TX
4 years,856xx,1,24000.0,Credit card refinancing,AZ
10+ years,014xx,0,22400.0,Debt consolidation,MA
4 years,802xx,1,9800.0,Consolidation,CO
10+ years,027xx,0,20000.0,Debt consolidation,MA
8 years,900xx,0,7000.0,Debt consolidation,CA
10+ years,337xx,1,19200.0,Debt consolidation,FL
3 years,105xx,1,12000.0,Debt consolidation,NY
3 years,628xx,0,18000.0,Credit card refinancing,IL
10+ years,349xx,0,30000.0,Debt consolidation,FL
10+ years,333xx,0,4750.0,Green loan,FL
10+ years,799xx,0,8400.0,Debt Consolidation,TX
10+ years,760xx,0,10000.0,Medical,TX
1 year,186xx,0,5000.0,Debt consolidation,PA
6 years,673xx,0,3600.0,Debt consolidation,KS
4 years,070xx,0,10000.0,Consolidate,NJ
7 years,111xx,0,8000.0,Other,NY
3 years,996xx,0,15000.0,Car financing,AK
4 years,072xx,0,24000.0,Debt consolidation,NJ
4 years,687xx,1,4200.0,Credit card refinancing,NE
6 years,201xx,0,15000.0,Home buying,VA
< 1 year,940xx,1,25000.0,killdebt,CA
5 years,968xx,1,23000.0,Debt consolidation,HI
9 years,852xx,1,4800.0,Debt consolidation,AZ
10+ years,446xx,1,27500.0,Debt consolidation,OH
7 years,863xx,0,18000.0,Credit Card,AZ
10+ years,540xx,0,8000.0,Credit card refinancing,WI
10+ years,119xx,0,15000.0,Debt consolidation,NY
8 years,940xx,0,24925.0,Credit card refinancing,CA
1 year,301xx,1,20000.0,Debt consolidation,GA
10+ years,793xx,0,13500.0,Other,TX
10+ years,423xx,1,10625.0,Credit card consolidation,KY
10+ years,701xx,0,7925.0,CONSOLIDATION,LA
10+ years,990xx,0,20000.0,Debt consolidation,WA
< 1 year,351xx,1,10050.0,Inventory for Business,AL
< 1 year,604xx,0,9000.0,Debt consolidation,IL
10+ years,032xx,1,22750.0,debt consolidation,NH
3 years,606xx,1,8000.0,Debt consolidation,IL
10+ years,450xx,1,14000.0,Credit card refinancing,OH
10+ years,913xx,1,2700.0,Business,CA
10+ years,727xx,0,25000.0,Credit card refinancing,AR
6 years,060xx,1,20000.0,Debt consolidation,CT
10+ years,912xx,0,13925.0,Debt consolidation,CA
9 years,370xx,0,12000.0,Credit card refinancing,TN
10+ years,113xx,1,16000.0,Debt consolidation,NY
10+ years,323xx,0,5000.0,Debt consolidation,FL
3 years,211xx,0,7000.0,Credit card refinancing,MD
9 years,010xx,0,16000.0,Credit card refinancing,MA
10+ years,476xx,0,6450.0,Debt consolidation,IN
7 years,243xx,0,12000.0,Home improvement,VA
2 years,488xx,0,2400.0,Other,MI
10+ years,115xx,0,5000.0,loan,NY
6 years,750xx,0,19000.0,Debt consolidation,TX
6 years,201xx,0,8000.0,Credit card refinancing,VA
9 years,786xx,0,11000.0,Credit card refinancing,TX
9 years,945xx,1,30000.0,Other,CA
4 years,782xx,0,9000.0,Credit Card Consolidation,TX
10+ years,328xx,0,18000.0,Debt consolidation,FL
7 years,535xx,1,3200.0,Debt consolidation,WI
6 years,180xx,1,24000.0,Home Repairs and Credit card Payoff,PA
3 years,900xx,0,8000.0,Debt consolidation,CA
1 year,123xx,0,6000.0,Debt consolidation,NY
8 years,836xx,0,6000.0,Debt consolidation,ID
1 year,283xx,0,11000.0,Debt consolidation,NC
5 years,945xx,0,20275.0,Consolodation,CA
5 years,945xx,0,15000.0,Debt consolidation,CA
10+ years,802xx,0,5000.0,Car financing,CO
7 years,954xx,0,10000.0,Debt consolidation,CA
4 years,165xx,0,18600.0,Debt consolidation,PA
1 year,562xx,1,16000.0,Debt consolidation,MN
10+ years,806xx,0,5200.0,Home improvements and debt consolidation,CO
2 years,442xx,0,15000.0,Credit card refinancing,OH
7 years,338xx,1,15900.0,Debt consolidation,FL
1 year,028xx,0,8600.0,Debt consolidation,RI
6 years,945xx,0,15250.0,Debt consolidation,CA
2 years,222xx,0,13600.0,Consolidating consumer loans,VA
6 years,856xx,0,11400.0,Debt consolidation,AZ
10+ years,956xx,0,35000.0,Credit card refinancing,CA
1 year,284xx,0,1500.0,Other,NC
1 year,958xx,1,10000.0,Credit card refinancing,CA
10+ years,129xx,0,13575.0,payoff,NY
10+ years,641xx,1,8400.0,Credit card refinancing,MO
7 years,926xx,0,10000.0,Debt consolidation,CA
6 years,853xx,0,7200.0,Debt consolidation,AZ
10+ years,112xx,0,10000.0,Home improvement,NY
1 year,900xx,0,10000.0,Debt consolidation,CA
2 years,334xx,0,10000.0,Home improvement,FL
2 years,809xx,0,7200.0,Debt consolidation,CO
2 years,431xx,0,10000.0,Debt consolidation,OH
1 year,448xx,0,27000.0,Credit card refinancing,OH
10+ years,900xx,0,30000.0,Debt consolidation,CA
5 years,331xx,0,10000.0,Debt consolidation,FL
< 1 year,330xx,0,25000.0,Credit card refinancing,FL
1 year,956xx,0,21000.0,Debt consolidation,CA
9 years,923xx,0,7200.0,Debt consolidation,CA
9 years,197xx,1,8050.0,Debt consolidation,DE
< 1 year,194xx,0,8800.0,the big one,PA
10+ years,553xx,0,17050.0,credit card free,MN
10+ years,273xx,0,20000.0,Debt consolidation,NC
9 years,920xx,0,5000.0,Other,CA
5 years,654xx,1,18000.0,Debt consolidation,MO
10+ years,152xx,0,8000.0,Debt consolidation,PA
5 years,923xx,0,4000.0,LC Loan,CA
10+ years,840xx,1,24000.0,Debt consolidation,UT
3 years,806xx,0,12500.0,Debt consolidation,CO
1 year,436xx,0,9600.0,Debt consolidation,OH
2 years,495xx,1,9800.0,Credit card refinancing,MI
10+ years,610xx,0,20000.0,Consolidate to save money,IL
4 years,760xx,0,14000.0,Debt consolidation,TX
8 years,070xx,0,5000.0,Major purchase,NJ
10+ years,773xx,0,33000.0,Debt consolidation,TX
10+ years,786xx,0,14000.0,Debt consolidation,TX
8 years,260xx,0,22000.0,Credit card refinancing,WV
7 years,381xx,0,10000.0,Consolidation,TN
10+ years,857xx,0,22875.0,Debt consolidation,AZ
10+ years,300xx,0,5000.0,Debt consolidation,GA
10+ years,070xx,0,20000.0,Credit card refinancing,NJ
5 years,921xx,0,24000.0,Best Life Yet,CA
2 years,113xx,0,24000.0,Credit card payoff,NY
1 year,902xx,1,24000.0,Debt consolidation,CA
5 years,436xx,0,15000.0,Debt consolidation,OH
10+ years,385xx,0,5000.0,Home improvement,TN
8 years,166xx,0,15000.0,Debt consolidation,PA
< 1 year,282xx,0,35000.0,Credit card refinancing,NC
9 years,088xx,0,4500.0,Debt consolidation,NJ
3 years,930xx,0,17625.0,Credit card refinancing,CA
1 year,176xx,1,12700.0,Debt consolidation,PA
2 years,630xx,0,5000.0,Home improvement,MO
1 year,100xx,0,27775.0,Debt consolidation,NY
3 years,400xx,0,35000.0,Debt consolidation,KY
2 years,982xx,0,16000.0,Debt consolidation,WA
< 1 year,761xx,0,15000.0,Debt consolidation,TX
10+ years,704xx,0,20000.0,Debt consolidation,LA
6 years,667xx,0,5500.0,Credit card refinancing,KS
7 years,282xx,1,20000.0,Debt consolidation,NC
8 years,346xx,0,15575.0,Credit card refinancing,FL
10+ years,331xx,0,17700.0,Debt consolidation,FL
5 years,770xx,0,5000.0,Debt consolidation,TX
10+ years,442xx,0,30625.0,Debt consolidation,OH
< 1 year,900xx,0,20000.0,Debt consolidation,CA
< 1 year,294xx,0,8000.0,Debt consolidation,SC
7 years,972xx,0,12000.0,Other Loan,OR
3 years,891xx,0,40000.0,Debt consolidation,NV
5 years,606xx,0,10000.0,Credit card refinancing,IL
7 years,601xx,0,7000.0,Debt consolidation,IL
4 years,113xx,1,24825.0,Debt consolidation,NY
8 years,085xx,0,6000.0,Credit card refinancing,NJ
8 years,085xx,0,12400.0,Credit card refinancing,NJ
4 years,650xx,0,8000.0,Debt consolidation,MO
10+ years,945xx,0,40000.0,Credit card refinancing,CA
2 years,995xx,1,30000.0,Home buying,AK
4 years,946xx,0,12000.0,Credit card refinancing,CA
2 years,331xx,1,14000.0,Debt consolidation,FL
9 years,138xx,1,16000.0,Debt consolidation,NY
10+ years,276xx,0,6000.0,Home improvement,NC
10+ years,175xx,0,17275.0,Debt consolidation,PA
2 years,200xx,0,13000.0,Major purchase,DC
10+ years,627xx,0,14000.0,Credit card refinancing,IL
10+ years,284xx,0,30000.0,Credit card refinancing,NC
4 years,792xx,0,28000.0,Debt consolidation,TX
10+ years,146xx,0,19200.0,Debt consolidation,NY
2 years,920xx,0,18000.0,Credit card refinancing,CA
2 years,554xx,0,20000.0,Home improvement,MN
10+ years,809xx,0,23800.0,Debt Freedom,CO
10+ years,454xx,0,2000.0,Other,OH
6 years,631xx,0,19000.0,Credit card refinancing,MO
3 years,908xx,1,12000.0,Debt consolidation,CA
10+ years,125xx,0,6400.0,Debt consolidation,NY
9 years,604xx,1,6750.0,Credit card refinancing,IL
10+ years,941xx,0,35000.0,Credit card refinancing,CA
8 years,945xx,0,21000.0,Home improvement,CA
1 year,105xx,1,14000.0,Debt consolidation,NY
5 years,436xx,0,4000.0,Medical expenses,OH
10+ years,681xx,0,12000.0,Debt consolidation,NE
2 years,068xx,1,21600.0,Debt consolidation,CT
1 year,300xx,1,18000.0,Debt consolidation,GA
10+ years,303xx,0,25000.0,Home improvement,GA
< 1 year,553xx,0,5000.0,Credit card refinancing,MN
1 year,123xx,0,12000.0,Debt consolidation,NY
8 years,582xx,0,10000.0,Debt consolidation,ND
1 year,891xx,1,13800.0,Credit card refinancing,NV
10+ years,231xx,1,10200.0,Debt consolidation,VA
10+ years,750xx,0,12000.0,Debt consolidation,TX
10+ years,681xx,0,24000.0,Debt consolidation,NE
10+ years,760xx,0,15000.0,Debt consolidation,TX
4 years,010xx,0,18000.0,Debt consolidation,MA
10+ years,284xx,0,20000.0,debt free,NC
10+ years,347xx,0,8575.0,Pay off Debt,FL
< 1 year,952xx,0,4600.0,debt consolitation loan,CA
7 years,110xx,0,11200.0,Credit card refinancing,NY
1 year,275xx,0,1000.0,Debt consolidation,NC
4 years,113xx,0,15000.0,Credit Card payoff,NY
4 years,018xx,1,24000.0,Debt consolidation,MA
10+ years,210xx,1,30000.0,Credit card refinancing,MD
8 years,926xx,0,10000.0,Vacation,CA
4 years,442xx,0,12000.0,Credit card refinancing,OH
1 year,370xx,1,26000.0,Debt consolidation,TN
10+ years,531xx,0,20000.0,Credit card refinancing,WI
9 years,495xx,0,10000.0,Debt consolidation,MI
1 year,480xx,0,9525.0,Debt consolidation,MI
7 years,100xx,0,12000.0,PayDown,NY
10+ years,917xx,0,9600.0,Debt consolidation,CA
3 years,112xx,0,6000.0,Other,NY
8 years,605xx,0,6000.0,Expenses,IL
< 1 year,703xx,0,10550.0,Debt consolidation,LA
10+ years,211xx,1,7700.0,Debt consolidation,MD
1 year,200xx,0,3000.0,Evicted,DC
4 years,161xx,1,6300.0,Debt consolidation,PA
10+ years,333xx,0,22000.0,Debt consolidation,FL
10+ years,480xx,1,31750.0,Debt consolidation,MI
4 years,067xx,0,1800.0,Debt consolidation,CT
9 years,925xx,0,20000.0,Debt consolidation,CA
2 years,301xx,0,14400.0,Consolidation/Home Improvement,GA
< 1 year,481xx,0,15000.0,Credit card refinancing,MI
6 years,113xx,0,3000.0,Credit card refinancing,NY
10+ years,786xx,0,28000.0,Debt consolidation,TX
6 years,275xx,0,6000.0,Debt consolidation,NC
6 years,403xx,0,3500.0,Credit card refinancing,KY
5 years,068xx,0,5000.0,Debt Consolidation,CT
2 years,109xx,0,23000.0,Debt consolidation,NY
7 years,287xx,0,24000.0,Debt consolidation,NC
1 year,852xx,0,30000.0,Credit card refinancing,AZ
10+ years,157xx,0,4000.0,Debt consolidation,PA
10+ years,015xx,0,21000.0,Debt consolidation,MA
3 years,334xx,0,32875.0,Credit card refinancing,FL
7 years,019xx,1,12000.0,Credit card refinancing,MA
5 years,917xx,1,30000.0,Credit card refinancing,CA
2 years,312xx,0,6950.0,Credit card refinancing,GA
10+ years,894xx,0,30000.0,Debt consolidation,NV
5 years,483xx,1,27200.0,Credit card refinancing,MI
< 1 year,601xx,0,20000.0,Home improvement,IL
10+ years,291xx,0,30000.0,Debt consolidation,SC
10+ years,467xx,0,5600.0,Fresh Start,IN
2 years,276xx,0,10000.0,Debt consolidation,NC
8 years,145xx,0,24000.0,Debt consolidation,NY
< 1 year,114xx,0,15000.0,Debt consolidation,NY
3 years,750xx,0,31000.0,Debt consolidation,TX
10+ years,802xx,0,15000.0,Credit card refinance loan,CO
5 years,853xx,0,8000.0,Major purchase,AZ
< 1 year,054xx,0,3600.0,Debt consolidation,VT
< 1 year,852xx,1,20000.0,Debt consolidation,AZ
2 years,336xx,0,5000.0,Debt consolidation,FL
10+ years,773xx,1,15000.0,Debt consolidation,TX
6 years,342xx,1,12000.0,Major purchase,FL
5 years,206xx,1,22400.0,Debt consolidation,MD
10+ years,300xx,0,2000.0,Debt consolidation,GA
10+ years,023xx,1,12500.0,Home improvement,MA
3 years,112xx,0,5000.0,Debt consolidation,NY
10+ years,710xx,0,28000.0,Credit card refinancing,LA
10+ years,935xx,0,15000.0,Credit card refinancing,CA
2 years,018xx,0,8425.0,Credit card refinancing,MA
10+ years,283xx,0,35000.0,Debt consolidation,NC
8 years,984xx,0,6000.0,Other,WA
10+ years,890xx,1,13000.0,Debt consolidation,NV
4 years,114xx,0,15000.0,Debt consolidation,NY
8 years,960xx,0,8000.0,Home improvement,CA
4 years,774xx,0,22025.0,Credit card refinancing,TX
8 years,463xx,1,12000.0,Other,IN
10+ years,365xx,0,25000.0,Debt consolidation,AL
9 years,440xx,0,18000.0,Credit card refinancing,OH
2 years,852xx,0,18000.0,Debt consolidation,AZ
3 years,860xx,0,8500.0,CC Consolidation,AZ
< 1 year,404xx,0,27800.0,Debt consolidation,KY
5 years,750xx,0,10000.0,Debt consolidation,TX
1 year,064xx,0,30000.0,Consolidation,CT
10+ years,400xx,0,10000.0,Debt consolidation,KY
2 years,337xx,0,10000.0,CC consolidation,FL
1 year,350xx,0,4000.0,Home improvement,AL
4 years,996xx,0,14000.0,debt,AK
10+ years,125xx,0,14125.0,Debt consolidation,NY
8 years,712xx,0,12775.0,Business,LA
3 years,222xx,0,11000.0,Startup Company Seed Funding,VA
5 years,322xx,0,10000.0,Debt consolidation,FL
< 1 year,761xx,0,10000.0,Debt consolidation,TX
4 years,770xx,0,25000.0,Credit card refinancing,TX
1 year,630xx,0,10000.0,Debt consolidation,MO
< 1 year,346xx,0,10000.0,Debt consolidation,FL
5 years,327xx,0,3325.0,Debt consolidation,FL
4 years,660xx,1,4500.0,Debt consolidation,KS
2 years,750xx,0,5000.0,Credit card refinancing,TX
5 years,731xx,0,15000.0,Debt consolidation,OK
3 years,775xx,0,1000.0,Other,TX
3 years,891xx,1,8000.0,Debt consolidation,NV
< 1 year,940xx,0,12000.0,Credit Card Payoff,CA
7 years,342xx,0,6000.0,Good old days,FL
10+ years,606xx,0,35000.0,Debt consolidation,IL
5 years,100xx,0,18000.0,Credit card refinancing,NY
2 years,959xx,0,20000.0,Debt consolidation,CA
10+ years,040xx,0,8700.0,Credit card refinancing,ME
9 years,281xx,0,8275.0,Travel Resorts of America TNC23,NC
2 years,751xx,1,10000.0,Home improvement,TX
5 years,532xx,0,15000.0,Debt consolidation,WI
10+ years,553xx,0,14000.0,Home improvement,MN
10+ years,957xx,0,18025.0,Debt consolidation,CA
< 1 year,917xx,1,25000.0,Debt consolidation,CA
10+ years,435xx,0,22000.0,Debt consolidation,OH
< 1 year,904xx,1,24000.0,Debt consolidation,CA
< 1 year,112xx,0,5000.0,Credit card refinancing,NY
3 years,604xx,0,14000.0,Debt consolidation,IL
3 years,605xx,0,15000.0,Home improvement,IL
2 years,553xx,0,9800.0,Debt consolidation,MN
2 years,950xx,1,15000.0,Debt consolidation,CA
10+ years,300xx,0,20000.0,Home improvement,GA
10+ years,952xx,0,13000.0,Debt consolidation,CA
2 years,928xx,0,10000.0,Debt consolidation,CA
< 1 year,932xx,1,15000.0,Debt consolidation,CA
3 years,785xx,1,12000.0,Credit Card Payoff Loan,TX
< 1 year,189xx,0,12500.0,Debt consolidation,PA
2 years,117xx,0,35000.0,Debt consolidation,NY
4 years,300xx,0,9300.0,Debt consolidation,GA
< 1 year,908xx,0,5600.0,Credit card refinancing,CA
3 years,113xx,0,11100.0,Loan,NY
5 years,993xx,0,12000.0,Home improvement,WA
7 years,890xx,1,12000.0,Debt consolidation,NV
6 years,605xx,0,3000.0,Debt consolidation,IL
10+ years,286xx,1,10000.0,Debt consolidation,VA
1 year,761xx,0,24000.0,Credit card refinancing,TX
9 years,021xx,0,10000.0,Debt consolidation,MA
6 years,605xx,0,10000.0,Credit card refinancing,IL
10+ years,016xx,0,35000.0,Credit card refinancing,MA
4 years,330xx,0,12000.0,Debt consolidation,FL
10+ years,945xx,1,9000.0,Credit card refinancing,CA
10+ years,958xx,0,16450.0,Debt consolidation loan,CA
10+ years,083xx,0,8000.0,Credit card refinancing,NJ
10+ years,601xx,0,8000.0,Car financing,IL
9 years,117xx,0,30000.0,Debt consolidation,NY
1 year,816xx,0,18000.0,Debt consolidation,CO
10+ years,746xx,1,40000.0,Medical expenses,OK
2 years,275xx,0,21000.0,Debt consolidation,NC
6 years,900xx,0,20000.0,Debt consolidation,CA
7 years,951xx,1,6075.0,Debt consolidation,CA
7 years,657xx,0,8250.0,Debt consolidation,MO
7 years,727xx,0,11000.0,Valued Customer,AR
10+ years,302xx,0,20000.0,Debt consolidation,GA
2 years,723xx,0,4875.0,Debt consolidation,AR
1 year,275xx,0,10425.0,Debt consolidation,NC
10+ years,217xx,0,20000.0,Debt consolidation,MD
9 years,479xx,0,26000.0,Debt consolidation,IN
10+ years,140xx,0,12000.0,Debt consolidation,NY
2 years,919xx,0,9600.0,Home improvement,CA
8 years,114xx,1,12000.0,Debt consolidation,NY
2 years,016xx,1,12000.0,Debt consolidation,MA
10+ years,750xx,0,25000.0,TO BE FREE,TX
